route_id,station_id,created_at,station_order,flag,plate_no1,location_no1,predict_time1,remain_seat_cnt1,plate_no2,location_no2,predict_time2,remain_seat_cnt2
a,b,2024-04-27 10:03:03 UTC,,,,,,,,,,
200000112,203000157,2024-04-28 13:56:12 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:01:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:20:32 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:20:39 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:21:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:22:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:23:40 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:24:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:25:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:26:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:27:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:28:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:29:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:30:39 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:31:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:32:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:33:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:34:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:42:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:43:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:44:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:45:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:46:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:47:36 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:48:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:49:37 UTC,,,,,,,,,,
200000112,203000157,2024-04-29 09:50:39 UTC,,,,,,,,,,
