year_month,manage_city,bus_type,station_id,station_no,station_name,pass_route_cnt
2023,수원시,일반,202000063,3071,인계사거리,4
2023,수원시,일반,202000069,3136,수원고용복지플러스센터.동수원사거리.삼성생명,3
2023,수원시,일반,201000177,2031,호매실쌍용아파트,1
2023,수원시,일반,201000224,2859,세곡사거리.힐스테이트푸르지오1단지,2
2023,수원시,일반,201000313,2831,권선구청,1
2023,수원시,일반,201000404,2903,호매실동차고지,3
2023,수원시,일반,201000412,2911,모아미래도아파트.호매실역서희스타힐스,10
2023,수원시,일반,201000228,2164,수원역센트럴어반시티.세류동성당,1
2023,수원시,일반,201000414,2913,금곡동행정복지센터.호매실파출소,8
2023,수원시,일반,201000410,2909,수원시보훈회관.호매실마을13단지,10
2023,수원시,일반,201000416,2915,칠보마을7단지,1
2023,수원시,일반,200000305,1279,삼성1차아파트,7
2023,수원시,일반,200000306,1420,보훈복지타운아파트,1
2023,수원시,일반,201000352,2851,들바람공원,2
2023,수원시,일반,201000353,2853,들바람공원,2
2023,수원시,일반,201000073,2027,큰갓띠,1
2023,수원시,일반,201000094,2037,칠보초등학교,5
2023,수원시,일반,203000002,3166,동수원우체국.인계래미안노블클래스,4
2023,수원시,일반,203000339,4318,수원광교박물관.광교이마트,4
2023,수원시,일반,203000054,4109,무궁화전자,4
2023,수원시,일반,203000049,4191,대광빌리지,4
2023,수원시,일반,200000148,1067,지지대교차로,4
2023,수원시,일반,200000154,1110,만석공원테니스장,6
2023,수원시,일반,200000116,1087,동신아파트,7
2023,수원시,일반,200000093,1224,KT수원지사.국민연금북수원지사,19
2023,수원시,일반,200000112,1092,장안고등학교,3
2023,수원시,일반,200000139,1143,장안문,19
2023,수원시,일반,200000138,1214,로얄팰리스,3
2023,수원시,일반,200000068,1002,율전중학교,1
2023,수원시,일반,200000083,1174,교육청사거리,2
2023,수원시,일반,200000122,1219,수원미술전시관.만석공원,3
2023,수원시,일반,200000109,1065,동남보건대학,6
2023,수원시,일반,200000120,1086,동신아파트,7
2023,수원시,일반,201000589,2982,수원역환승센터(3승강장),2
2023,수원시,일반,201000071,2356,수원하늘채더퍼스트아파트입구,2
2023,수원시,일반,203000141,4096,우성아파트,8
2023,수원시,일반,200000185,1128,수원KT위즈파크.행정동우회관.경기도남부자치경찰위원회,16
2023,수원시,일반,200000251,1245,수원고용노동청,4
2023,수원시,일반,201000076,2044,입북동입구,3
2023,수원시,일반,201000185,2950,입북동삼거리,1
2023,수원시,일반,201000478,2970,수원아이파크5단지.곡정초등학교,2
2023,수원시,일반,200000036,1097,풍림아파트입구,1
2023,수원시,일반,202000003,3081,수원시청.수원일자리센터,6
2023,수원시,일반,201000597,2990,수원역환승센터(11승강장),1
2023,수원시,일반,200000013,1156,용머리다리,1
2023,수원시,일반,200000017,1166,광교산,1
2023,수원시,일반,200000029,1005,동문굿모닝힐.율전이안아파트,1
2023,수원시,일반,202000009,3100,수원시청역10번출구.국민연금공단.경인일보,5
2023,수원시,일반,202000095,3178,숙지중고교.서호공원,4
2023,수원시,일반,200000022,1058,정자동성당,1
2023,수원시,일반,202000018,3104,현대힐스테이트.인계삼성아파트,7
2023,수원시,일반,201000146,2041,칠보입구,5
2023,수원시,일반,201000142,2140,서호중학교,2
2023,수원시,일반,201000016,2058,오목천동태산아파트.서희스타힐스,12
2023,수원시,일반,200000175,1157,용머리다리,1
2023,수원시,일반,203000241,4250,원천삼성1차아파트.삼일교회,1
2023,수원시,일반,200000167,1189,연무시장입구.연무동문화센터,3
2023,수원시,일반,200000177,1151,장안문,4
2023,수원시,일반,201000587,2980,수원역환승센터(1승강장),5
2023,수원시,일반,201000145,2221,수원버스터미널,4
2023,수원시,일반,201000181,2022,모아미래도아파트.호매실더센트라고아파트,2
2023,수원시,일반,203000238,4245,삼성전자소재연구단지,1
2023,수원시,일반,203000086,4050,한국2차아파트,4
2023,수원시,일반,203000099,4006,그린빌주공5단지,3
2023,수원시,일반,203000120,4169,황골벽산아파트,12
2023,수원시,일반,203000129,4013,매탄우남아파트,3
2023,수원시,일반,203000187,4198,삼성DigitalCity동문,1
2023,수원시,일반,203000262,4261,광교초등학교.광교홍재도서관,3
2023,수원시,일반,202000052,3137,녹산문고앞,22
2023,수원시,일반,202000060,3067,창룡문.연무대,6
2023,수원시,일반,202000107,3197,일월수목원.일월도서관.율천고,1
2023,수원시,일반,203000344,4323,광교중학교.광교e편한세상2차,2
2023,수원시,일반,203000352,4342,광교에일린의뜰.광교호수공원,2
2023,수원시,일반,203000385,4370,신동단독택지,4
2023,수원시,일반,201000476,2968,세지로,1
2023,수원시,일반,203000285,4134,광교휴먼시아32단지정문,13
2023,수원시,일반,203000291,4372,광교호반베르디움,1
2023,수원시,일반,203000165,4181,경기대수원캠퍼스후문.수원박물관,17
2023,수원시,일반,202000211,3026,고등동사거리.고등동행정복지센터,18
2023,수원시,일반,202000237,3149,진흥아파트,1
2023,수원시,일반,201000172,2103,탑동초등학교.삼성아파트,10
2023,수원시,일반,202000077,3145,권선초교,3
2023,수원시,일반,201000048,2165,세류중학교.아세아시멘트,10
2023,수원시,일반,201000060,2151,평동,1
2023,수원시,일반,201000067,2149,평동행정복지센터,1
2023,수원시,일반,201000074,2198,전원아파트.한라녹턴아파트,1
2023,수원시,일반,201000003,2234,권선사거리.SK뷰아파트,3
2023,수원시,일반,201000002,2228,세권사거리,3
2023,수원시,일반,201000261,0,당수지구상업부지(예정),3
2023,수원시,일반,201000544,2167,평동동남아파트,1
2023,수원시,일반,201000590,2983,수원역환승센터(4승강장),5
2023,수원시,일반,201000592,2985,수원역환승센터(6승강장),3
2023,수원시,일반,201000033,2129,더함파크,13
2023,수원시,일반,201000218,2095,탑동우방아파트,4
2023,수원시,일반,201000215,2071,한국산업인력공단,1
2023,수원시,일반,201000198,2232,이마트,19
2023,수원시,일반,201000190,2179,세류사거리,10
2023,수원시,일반,201000206,2218,태장면고개,4
2023,수원시,일반,203000101,4005,그린빌주공5단지,3
2023,수원시,일반,203000128,4028,영통구청,2
2023,수원시,일반,203000205,4154,영일중학교.수원출입국외국인청,8
2023,수원시,일반,201000089,2212,세류현대아파트,2
2023,수원시,일반,201000092,2223,세권사거리,1
2023,수원시,일반,202000262,3022,수원역.AK플라자,4
